AMI ID,Camera ID,Latitude,Longitude,Single-board computer,Power,images_folder
#1,E43B615A,9.163544,-79.8378812,Rock Pi,Battery,"bci/trap1"
#2,BEF510C3,9.1619212,-79.8388263,Rock Pi,Battery,"bci/trap2"
#3,2BD0E9C1,9.163177,-79.8381913,Raspberry Pi,Battery,"bci/trap3"
#4,28670E4D,9.1665498,-79.8370742,Raspberry Pi,Battery,"bci/trap4"
#5,94CDAF87,9.156513,-79.8482278,Rock Pi,Battery + Solar panel,"bci/trap5"
#6,0F58CB93,9.1581468,-79.8473376,Rock Pi,Battery + Grid power,"bci/trap6"
